set,QQ,epsilon,d_MTj,d_vac,d_IntBr,d_ExtBr,C_L,C_new,C_ratio,sigma,estat,esyst,enorm
1,1.000,0.692,-0.1657,0.0121,0.0050,-0.1098,0.9934,0.7672,1.0045,5.291e+00,0.80,0.50,1.90
1,1.000,0.869,-0.1690,0.0122,0.0042,-0.1268,0.9951,0.7525,1.0032,1.786e+01,0.91,0.50,1.90
1,1.000,0.930,-0.1702,0.0122,0.0039,-0.1410,0.9960,0.7414,1.0023,3.960e+01,0.86,0.50,1.90
1,2.003,0.635,-0.1802,0.0157,0.0077,-0.1064,0.9950,0.7648,1.0057,4.461e-01,0.92,0.50,1.90
1,2.003,0.735,-0.1782,0.0157,0.0073,-0.1125,0.9958,0.7618,1.0038,7.827e-01,0.75,0.50,1.90
1,2.003,0.808,-0.1791,0.0158,0.0067,-0.1204,0.9962,0.7552,1.0035,1.292e+00,0.61,0.50,1.90
1,2.003,0.878,-0.1781,0.0158,0.0064,-0.1286,0.9969,0.7500,1.0025,2.427e+00,0.96,0.50,1.90
1,2.003,0.938,-0.1966,0.0158,0.0046,-0.1472,0.9970,0.7216,1.0014,5.754e+00,2.38,0.50,1.90
1,2.497,0.619,-0.1833,0.0170,0.0089,-0.1043,0.9956,0.7663,1.0054,1.904e-01,0.91,0.50,1.90
1,2.497,0.723,-0.1760,0.0170,0.0090,-0.1075,0.9965,0.7703,1.0043,3.383e-01,0.85,0.50,1.90
1,2.497,0.800,-0.1813,0.0170,0.0078,-0.1146,0.9968,0.7601,1.0033,5.648e-01,0.63,0.50,1.90
1,2.497,0.846,-0.1818,0.0171,0.0074,-0.1247,0.9970,0.7520,1.0026,8.315e-01,0.93,0.50,1.90
1,3.007,0.623,-0.1852,0.0181,0.0100,-0.1043,0.9961,0.7670,1.0056,9.719e-02,0.97,0.50,1.90
1,3.007,0.761,-0.1829,0.0182,0.0090,-0.1133,0.9970,0.7618,1.0041,2.203e-01,0.85,0.50,1.90
1,3.007,0.910,-0.2149,0.0182,0.0049,-0.1569,0.9968,0.7034,1.0019,9.102e-01,2.55,0.50,1.90
1,3.007,0.932,-0.2250,0.0183,0.0042,-0.1693,0.9967,0.6872,1.0015,1.317e+00,1.05,0.50,1.90
2,1.750,0.250,-0.1870,0.0149,0.0087,-0.0653,0.9928,0.7899,1.0090,1.453e-01,0.78,1.06,1.77
2,1.750,0.704,-0.1786,0.0149,0.0066,-0.0771,0.9965,0.7884,1.0036,1.033e+00,0.46,1.06,1.77
2,1.750,0.950,-0.1814,0.0149,0.0049,-0.0941,0.9983,0.7732,1.0014,1.157e+01,0.58,1.06,1.77
2,2.500,0.227,-0.1877,0.0170,0.0128,-0.0601,0.9941,0.7994,1.0113,3.427e-02,1.07,1.06,1.77
2,2.500,0.479,-0.1864,0.0170,0.0097,-0.0674,0.9960,0.7937,1.0066,9.922e-02,0.93,1.06,1.77
2,2.500,0.630,-0.1866,0.0170,0.0084,-0.0741,0.9967,0.7877,1.0047,1.999e-01,0.91,1.06,1.77
2,2.500,0.750,-0.1808,0.0170,0.0081,-0.0780,0.9975,0.7896,1.0032,3.964e-01,0.47,1.06,1.77
2,2.500,0.820,-0.1805,0.0170,0.0076,-0.0828,0.9978,0.7859,1.0028,6.634e-01,0.61,1.06,1.77
2,2.500,0.913,-0.1875,0.0170,0.0062,-0.0933,0.9983,0.7715,1.0016,1.782e+00,0.64,1.06,1.77
2,3.250,0.426,-0.1925,0.0186,0.0119,-0.0654,0.9962,0.7936,1.0077,2.870e-02,1.23,1.06,1.77
2,3.250,0.609,-0.1870,0.0186,0.0105,-0.0710,0.9973,0.7932,1.0049,6.817e-02,0.88,1.06,1.77
2,3.250,0.719,-0.1854,0.0186,0.0095,-0.0767,0.9977,0.7896,1.0042,1.261e-01,0.86,1.06,1.77
2,3.250,0.865,-0.1926,0.0186,0.0074,-0.0900,0.9982,0.7723,1.0021,3.906e-01,0.48,1.06,1.77
2,4.000,0.437,-0.1923,0.0199,0.0140,-0.0636,0.9968,0.7984,1.0084,1.308e-02,1.43,1.06,1.77
2,4.000,0.593,-0.1901,0.0199,0.0120,-0.0703,0.9975,0.7938,1.0058,2.786e-02,1.25,1.06,1.77
2,4.000,0.694,-0.1888,0.0199,0.0109,-0.0754,0.9979,0.7902,1.0045,4.951e-02,1.25,1.06,1.77
2,4.000,0.805,-0.1981,0.0199,0.0085,-0.0866,0.9981,0.7725,1.0030,1.026e-01,0.89,1.06,1.77
2,4.000,0.946,-0.2431,0.0199,0.0038,-0.1111,0.9983,0.7174,1.0009,6.186e-01,0.76,1.06,1.77
2,5.000,0.389,-0.1950,0.0214,0.0174,-0.0601,0.9970,0.8031,1.0094,4.245e-03,2.06,1.06,1.77
2,5.000,0.538,-0.1942,0.0214,0.0140,-0.0676,0.9977,0.7956,1.0069,8.521e-03,1.46,1.06,1.77
2,5.000,0.704,-0.2029,0.0214,0.0105,-0.0807,0.9980,0.7759,1.0043,2.137e-02,1.05,1.06,1.77
2,5.000,0.919,-0.2472,0.0214,0.0044,-0.1124,0.9982,0.7149,1.0010,1.578e-01,1.04,1.06,1.77
2,6.000,0.886,-0.2516,0.0226,0.0049,-0.1120,0.9981,0.7132,1.0010,4.754e-02,1.24,1.06,1.77
2,7.000,0.847,-0.2568,0.0237,0.0053,-0.1113,0.9980,0.7110,1.0023,1.711e-02,2.26,1.06,1.77
3,1.750,0.250,-0.1880,0.0149,0.0086,-0.0457,0.9958,0.8071,1.0083,1.527e-01,0.21,1.12,1.77
3,2.500,0.227,-0.1885,0.0170,0.0127,-0.0407,0.9966,0.8163,1.0101,3.581e-02,0.28,1.12,1.77
3,3.250,0.206,-0.1957,0.0186,0.0156,-0.0387,0.9968,0.8159,1.0115,1.108e-02,0.67,1.12,1.77
3,4.000,0.190,-0.2018,0.0199,0.0184,-0.0368,0.9969,0.8159,1.0123,4.142e-03,0.81,1.12,1.77
3,5.000,0.171,-0.1990,0.0214,0.0250,-0.0314,0.9973,0.8297,1.0141,1.358e-03,0.93,1.12,1.77
3,6.000,0.156,-0.2029,0.0226,0.0297,-0.0286,0.9974,0.8338,1.0150,5.241e-04,1.27,1.12,1.77
3,7.000,0.143,-0.2048,0.0237,0.0349,-0.0255,0.9977,0.8403,1.0165,2.285e-04,2.26,1.12,1.77
3,8.830,0.125,-0.2208,0.0254,0.0351,-0.0259,0.9974,0.8280,1.0217,6.153e-05,3.89,1.12,1.77
